show_order,n1,n2,n3,n4,n5,n6,sp
latest_value,14,26,28,31,32,34,1
top1,6,9,16,29,29,38,5
top2,4,15,12,23,31,35,2
top3,2,20,25,22,26,37,8
top4,7,4,11,25,32,36,4
top5,5,10,20,21,36,34,3
unseen_1,3,1,1,1,1,1,
unseen_2,11,2,2,2,2,2,
unseen_3,14,3,3,3,3,3,
unseen_4,15,5,4,4,4,4,
unseen_5,16,8,5,5,5,5,
unseen_6,17,11,6,6,6,6,
unseen_7,18,12,7,7,7,7,
unseen_8,20,14,8,8,8,8,
unseen_9,21,16,10,9,9,9,
unseen_10,22,17,13,10,10,10,
unseen_11,23,18,17,12,11,11,
unseen_12,24,19,19,13,15,12,
unseen_13,25,21,21,18,17,13,
unseen_14,26,22,27,28,38,14,
unseen_15,27,23,28,36,,15,
unseen_16,28,24,29,37,,16,
unseen_17,29,25,30,38,,17,
unseen_18,30,26,31,,,18,
unseen_19,31,27,32,,,,
unseen_20,32,28,34,,,,
unseen_21,33,29,35,,,,
unseen_22,34,30,36,,,,
unseen_23,35,31,37,,,,
unseen_24,36,32,38,,,,
unseen_25,37,33,,,,,
unseen_26,38,34,,,,,
unseen_27,,35,,,,,
unseen_28,,36,,,,,
unseen_29,,37,,,,,
unseen_30,,38,,,,,
